AcademicID,Academic,Affiliation,Citations,h-index,i10-index,Citations in 1996,Citations in 1997,Citations in 1998,Citations in 1999,Citations in 2000,Citations in 2001,Citations in 2002,Citations in 2003,Citations in 2004,Citations in 2005,Citations in 2006,Citations in 2007,Citations in 2008,Citations in 2009,Citations in 2010,Citations in 2011,Citations in 2012,Citations in 2013,Citations in 2014,Citations in 2015,Citations in 2016,Citations in 2017,Citations in 2018,Citations in 2019,Citations in 2020,Citations in 2021,Citations in 2022,Citations in 2023,Citations in 1984,Citations in 1985,Citations in 1986,Citations in 1987,Citations in 1988,Citations in 1989,Citations in 1990,Citations in 1991,Citations in 1992,Citations in 1993,Citations in 1994,Citations in 1995
80858125,Richard Binns,Northumbria University,626,13,19,4,2,5,2,7,1,3,5,0,1,0,1,0,2,0,0,1,3,1,4,6,14,26,64,90,134,147,99,,,,,,,,,,,,
55036153,Henning Bostelmann,University of York,351,12,13,,,,,2,0,4,3,4,1,7,6,11,16,17,4,13,17,12,24,16,12,22,19,22,36,33,41,,,,,,,,,,,,
25193792,Martin Bees,University of York,1923,26,43,,5,9,13,21,13,27,35,27,24,46,54,53,42,57,67,59,96,134,94,124,107,125,124,142,149,158,112,,,,,,,,,,,,
40810269,Brent Everitt,University of York,415,12,17,,,3,1,5,7,4,6,17,12,12,13,14,10,17,18,23,24,20,22,23,14,22,21,34,19,24,19,,,,,,,,,,,,
95654523,Michael Bate,University of York,392,10,10,,,,,,,,,,,,4,4,11,17,12,24,21,17,19,34,19,26,32,42,27,51,20,,,,,,,,,,,,
36719077,George W. A. Constable,University of York,472,12,14,,,,,,,,,,,,,,,,2,3,7,15,18,14,46,79,63,49,72,55,47,,,,,,,,,,,,
68702667,Ed Corrigan,University of York,5712,39,68,163,139,178,181,181,204,157,134,156,133,144,116,149,125,84,96,176,117,137,154,127,120,111,83,94,95,98,64,57,57,88,87,96,58,113,110,168,150,109,183
74053752,Gustav Delius,University of York,1615,27,39,65,59,66,51,64,46,54,51,44,51,55,34,60,29,48,44,68,23,32,36,62,34,37,54,46,47,44,31,,,,,,,18,32,56,39,43,84
37699174,Eric C. Dykeman,University of York,1834,25,35,,,,,,,,,,,,15,13,23,48,38,47,92,66,102,142,141,171,140,209,213,254,101,,,,,,,,,,,,
67125424,Eli Hawkins,University of York,687,13,15,,5,11,17,22,10,20,16,11,21,25,13,28,22,27,22,24,45,31,44,32,22,28,27,50,42,32,31,,,,,,,,,,,,
24670769,Atsushi Higuchi,University of York,5989,39,81,50,33,46,39,43,122,91,82,84,89,105,112,160,187,217,283,292,313,314,286,379,320,381,319,359,362,379,300,,,,,,,,22,8,33,41,60
31145808,Christopher Hughes,University of York,1279,17,18,,,,,,6,10,40,24,33,51,42,43,50,51,50,69,69,73,65,55,69,56,69,84,79,107,62,,,,,,,,,,,,
97506122,Konstantin Ilin,University of York,409,12,14,1,2,6,10,9,7,4,20,6,9,8,4,22,10,8,14,21,25,14,30,17,22,11,27,33,30,18,8,,,,,,,,,,,2,3
34274007,Jason Levesley,University of York,302,9,9,,,,,,1,3,3,4,2,7,3,4,9,14,19,12,14,24,19,9,23,10,19,15,34,18,25,,,,,,,,,,,,
12806372,Niall MacKay,University of York,1685,23,37,19,37,22,33,23,31,40,40,33,81,45,42,47,30,44,83,88,46,77,80,81,86,66,62,84,122,79,55,,,,,,,,6,8,19,19,42
2772958,Ian McIntosh,University of York,525,13,16,4,6,9,13,7,13,21,16,36,16,21,29,32,25,27,28,21,21,13,14,10,16,11,12,11,20,11,15,,,,,,,,3,1,8,13,11
35392388,Ben Powell,University of York,356,6,5,,,,,,,,,,,,,,,,,,,,,11,26,41,56,46,69,67,37,,,,,,,,,,,,
93315608,Matthew F. Pusey,University of York,2463,18,20,,,,,,,,,,,,,,,,8,31,104,134,169,203,225,276,245,259,282,304,193,,,,,,,,,,,,
32485729,Dmitri (Mitya) Pushkin,University of York,686,13,13,,,,,,,,,6,1,3,4,5,1,3,11,24,24,58,36,72,71,51,72,58,75,72,34,,,,,,,,,,,,
58595190,Kasia Rejzner,University of York,1112,18,23,,,,,,,,,,,,,,,,8,14,30,43,63,112,64,89,86,134,114,171,161,,,,,,,,,,,,
41181576,Evgeny Sklyanin,University of York,12945,41,65,345,309,315,293,321,331,334,322,284,375,361,413,342,268,297,318,355,395,407,447,391,391,412,477,423,415,373,189,70,105,114,93,134,167,285,240,318,343,339,395
28624808,Benoit Vicedo,University of York,2198,23,36,,,,,,,,,,,,40,79,41,35,55,60,29,116,133,191,181,186,190,230,290,207,123,,,,,,,,,,,,
93910965,Stefan Weigert,University of York,2021,26,45,10,17,27,22,46,37,39,40,70,49,46,65,69,84,82,71,80,103,98,107,101,96,108,115,95,125,100,72,,,,,,,,,,8,9,16
